video_id,true_label,final_prediction,video_confidence,reasoning,frame_predictions_json,error
0,Natural History,natural_history,0.8,"The majority of frames depict traditional museum exhibits and architecture, consistent with a natural history museum setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}]",
1,Natural History,frameless,0.85,"The frames predominantly feature a focus on fashion and makeup, with a modern and stylized aesthetic that aligns with immersive digital-art style content.","[{""frame_number"": 1, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 2, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""frameless"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 7, ""prediction"": ""frameless"", ""confidence_score"": 0.7}]",
2,Natural History,natural_history,0.9,"The frames predominantly feature traditional museum exhibits, such as artifacts and skeletons, within a conventional gallery space, indicating a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
3,Natural History,natural_history,0.8,"The majority of frames depict traditional museum exhibits and settings, such as artifacts in display cases and museum architecture, consistent with a natural history museum.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}]",
4,Natural History,natural_history,0.92,"The majority of frames depict traditional museum exhibits, such as artifacts in display cases and museum architecture, consistent with a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.85}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
5,Natural History,natural_history,0.8,"The majority of frames depict traditional museum settings and architecture, consistent with natural history exhibits.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""frameless"", ""confidence_score"": 0.7}, {""frame_number"": 4, ""prediction"": ""frameless"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
6,Natural History,natural_history,0.95,The frames depict a traditional museum setting with architectural elements and exhibits typical of natural history museums.,"[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
7,Natural History,natural_history,0.9,"The majority of frames depict traditional museum exhibits such as artifacts and taxidermy in conventional gallery spaces, consistent with a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}]",
8,Natural History,natural_history,0.7,"The video predominantly features traditional settings such as a museum and urban environments, which align with the natural_history classification.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}]",
9,Natural History,natural_history,0.95,"The frame shows a traditional museum building with classic architecture, indicating a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
10,Natural History,natural_history,0.93,"The frames predominantly feature traditional museum exhibits, artifacts in display cases, and conventional gallery spaces, indicating a natural history setting.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
11,Natural History,natural_history,0.2,"The frames depict an urban environment with streets and buildings, which aligns more with traditional settings rather than immersive digital art.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.2}]",
12,Natural History,,,,,"API returned an empty response, likely due to the safety system."
13,Natural History,natural_history,0.8,"The majority of frames depict traditional museum exhibits and settings, such as artifacts and gallery spaces, consistent with a natural history theme.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.6}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.7}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.5}]",
14,Natural History,,,,,"API returned an empty response, likely due to the safety system."
15,Natural History,natural_history,0.9,"The frames predominantly feature elements typical of a natural history setting, such as museum-like environments and educational content.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.9}, {""frame_number"": 6, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}, {""frame_number"": 7, ""prediction"": ""natural_history"", ""confidence_score"": 0.8}]",
16,Natural History,natural_history,0.95,"The frames depict traditional museum exhibits such as dinosaur skeletons and minerals, set in a conventional gallery space with classic museum architecture.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 2, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 3, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 4, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}, {""frame_number"": 5, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
17,Natural History,natural_history,0.95,"The frame shows a traditional museum exhibit with artifacts in a display setting, typical of a natural history museum.","[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
18,Natural History,natural_history,0.95,The frame shows a traditional museum setting with architectural elements typical of a natural history museum.,"[{""frame_number"": 1, ""prediction"": ""natural_history"", ""confidence_score"": 0.95}]",
